Word,Value,Freq,Method,Label
swamped,2.963030457496643,one,Roberta_Mask,joy
spca,2.8359440565109253,one,Roberta_Mask,joy
amped,2.545498847961426,one,Roberta_Mask,joy
uneven,2.076223134994507,one,Roberta_Mask,joy
blissful,2.065581560134888,one,Roberta_Mask,joy
squashed,2.045352816581726,one,Roberta_Mask,joy
shinning,1.837267816066742,one,Roberta_Mask,joy
sunbeams,1.7515391409397123,one,Roberta_Mask,joy
soexcited,1.74125537276268,one,Roberta_Mask,joy
shadowing,1.696226716041565,one,Roberta_Mask,joy
fireworks,1.668668270111084,one,Roberta_Mask,joy
picky,1.6553415060043335,one,Roberta_Mask,joy
weaping,1.6479157209396362,one,Roberta_Mask,joy
refreshed,1.6163222789764404,one,Roberta_Mask,joy
notcomplaining,1.5621783137321472,one,Roberta_Mask,joy
smallpleasures,1.5493135452270508,one,Roberta_Mask,joy
every.possible.stop,1.5385268926620483,one,Roberta_Mask,joy
jazzed,1.5244516134262085,one,Roberta_Mask,joy
so.sick,1.513041503727436,one,Roberta_Mask,joy
constricts,1.4516267031431198,one,Roberta_Mask,joy
flattens,1.4375660419464111,one,Roberta_Mask,joy
shepherd,1.4201499223709106,one,Roberta_Mask,joy
scraping,1.4076459407806396,one,Roberta_Mask,joy
strapping,1.400973200798035,one,Roberta_Mask,joy
unravel.~unknown,1.390980899333954,one,Roberta_Mask,joy
essential,1.3699337244033811,one,Roberta_Mask,joy
sighsofrelief,1.354682981967926,one,Roberta_Mask,joy
speeding,1.3354296684265137,one,Roberta_Mask,joy
algorithm,1.3248226642608645,one,Roberta_Mask,joy
grandest,1.316447138786316,one,Roberta_Mask,joy
fascinated,1.3120146989822388,one,Roberta_Mask,joy
-never,1.3078755363821983,one,Roberta_Mask,joy
iamblessed,1.3020808696746826,one,Roberta_Mask,joy
hangovers,1.290097713470459,one,Roberta_Mask,joy
springy,1.2876273691654203,one,Roberta_Mask,joy
dozing,1.2831663489341736,one,Roberta_Mask,joy
psychiatry,1.2608490884304049,one,Roberta_Mask,joy
happinessis,1.2422834634780884,one,Roberta_Mask,joy
wonks,1.2359227538108826,one,Roberta_Mask,joy
fullfillment,1.2217695713043213,one,Roberta_Mask,joy
simplicity,1.2192330360412598,one,Roberta_Mask,joy
allday,1.2150604128837583,one,Roberta_Mask,joy
musicallyfullfilled,1.1916583776474,one,Roberta_Mask,joy
feelspower,1.187391757965088,one,Roberta_Mask,joy
solemn,1.1871116608381271,one,Roberta_Mask,joy
snnnnoooooowwww,1.1827596426010132,one,Roberta_Mask,joy
